CustomerKey;First name;LastName;Imie i naziwsko;BirthDate;Gender;Płeć;TotalChildren;AddressLine1;Kraj
21176;Raul;Chande;Raul Chande;1984-02-03;M;Mężczyzna;5;938 San Ysidro Court;Australia
16166;April;Goel;April Goel;1984-02-03;F;Kobieta;5;7723 Sun View Terrace;Australia
13824;Destiny;Wood;Destiny Wood;1984-02-03;F;Kobieta;4;Altendorfer Straße 421;Germany
23899;Lindsey;Nath;Lindsey Nath;1984-01-20;F;Kobieta;4;00, rue Saint-Lazare;France
25664;Jon;Hu;Jon Hu;1984-01-19;M;Mężczyzna;4;Kulmer Straße 555;Germany
17835;Francisco;Perez;Francisco Perez;1983-12-26;M;Mężczyzna;4;3708 Lenox Ct;United Kingdom
27828;Ernest;Gao;Ernest Gao;1983-12-24;M;Mężczyzna;4;6208 ViewPoint Court;United Kingdom
19506;Candice;Lin;Candice Lin;1983-12-11;F;Kobieta;4;1658 Stonyhill Circle;United Kingdom
12864;Michelle;Townsend;Michelle Townsend;1983-10-31;F;Kobieta;4;5109 C Northwood Dr;United Kingdom
23419;Shawna;Xu;Shawna Xu;1983-10-29;F;Kobieta;5;238 Montego;Australia
16314;Gabriel;Ross;Gabriel Ross;1983-10-22;M;Mężczyzna;4;9746 Hill Ct;United Kingdom
28494;Ross;Martinez;Ross Martinez;1983-10-19;M;Mężczyzna;4;Holzstr 4222;Germany
23424;Adriana;Subram;Adriana Subram;1983-10-18;F;Kobieta;5;6541 Central Ave.;Australia
14836;Peter;Chander;Peter Chander;1983-10-04;M;Mężczyzna;4;3557 Harvard Court;United Kingdom
15592;Janet;Moreno;Janet Moreno;1983-10-01;F;Kobieta;5;3870 Grand Ct.;Australia
19369;Clifford;Suri;Clifford Suri;1983-09-30;M;Mężczyzna;4;7644 Browning Place;United Kingdom
14978;Jamie;Ortega;Jamie Ortega;1983-09-29;M;Mężczyzna;4;Kappellweg 242;Germany
16313;Hailey;Russell;Hailey Russell;1983-09-23;F;Kobieta;4;Husemann Straße 7574;Germany
19368;Lindsay;Anand;Lindsay Anand;1983-09-23;F;Kobieta;4;Lützowplatz 900;Germany
23943;Cindy;Subram;Cindy Subram;1983-09-21;F;Kobieta;4;6900 Bellord Ct.;United Kingdom
25506;Cristina;Raji;Cristina Raji;1983-09-21;F;Kobieta;5;8258 N. Broadway;United Kingdom
12513;Austin;Thompson;Austin Thompson;1983-09-17;M;Mężczyzna;4;2754 Stanbridge Ct.;United Kingdom
19505;Gilbert;She;Gilbert She;1983-09-09;M;Mężczyzna;4;2899 Cimarron Drive;United Kingdom
14834;Ebony;Jimenez;Ebony Jimenez;1983-09-07;F;Kobieta;4;Höhenstr 9449;Germany
20217;Valerie;Wang;Valerie Wang;1983-09-07;F;Kobieta;5;1867 Sahara Drive;Australia
21174;Andre;Smith;Andre Smith;1983-09-06;M;Mężczyzna;5;470 Laurel;Australia
14981;April;Raji;April Raji;1983-09-05;F;Kobieta;4;4510 Terry Lynn Lane;United Kingdom
14979;Rodney;Serrano;Rodney Serrano;1983-09-04;M;Mężczyzna;4;Platz des Landtags 55;Germany
21109;Katie;Pal;Katie Pal;1983-08-27;F;Kobieta;4;Marketplatz 64;Germany
16449;Casey;Browning;Casey Browning;1983-08-14;M;Mężczyzna;4;2599 Vine Hill Way;United Kingdom
23944;Jenny;Wu;Jenny Wu;1983-07-08;F;Kobieta;4;2598 Breck Court;United Kingdom
20010;Jackson;Carter;Jackson Carter;1983-06-11;M;Mężczyzna;4;1233 Wesley Ct.;United States
19507;Raul;Shen;Raul Shen;1983-06-10;M;Mężczyzna;5;51, impasse Ste-Madeleine;France
25507;Suzanne;Guo;Suzanne Guo;1983-05-27;F;Kobieta;5;3, rue de la Centenaire;France
27240;Dalton;Cooper;Dalton Cooper;1983-05-25;M;Mężczyzna;4;9958 Ronda Ct.;United States
14937;Brendan;Xu;Brendan Xu;1983-05-19;M;Mężczyzna;4;1796 Hamlet;United Kingdom
25427;Omar;Zeng;Omar Zeng;1983-05-19;M;Mężczyzna;5;4739 Bynum Way;United States
27718;Franklin;Shan;Franklin Shan;1983-05-19;M;Mężczyzna;5;5869 Heights Avenue;Australia
19234;Micah;Zheng;Micah Zheng;1983-05-13;M;Mężczyzna;4;8526 El Mundo Dr.;United States
13825;Kelvin;Ma;Kelvin Ma;1983-05-13;M;Mężczyzna;5;50, rue Royale;France
25666;Micheal;Munoz;Micheal Munoz;1983-05-05;M;Mężczyzna;5;66, place de la République;France
20935;Desiree;Jimenez;Desiree Jimenez;1983-04-13;F;Kobieta;5;44, rue Saint Denis;France
11765;Marc;Torres;Marc Torres;1983-04-06;M;Mężczyzna;5;1439 N. Michell Canyon Road;Australia
16172;Janelle;Perez;Janelle Perez;1983-04-06;F;Kobieta;5;7682 Palm Avenue;Australia
18210;Katie;Lal;Katie Lal;1983-03-23;F;Kobieta;4;1226 Shoenic;Australia
13848;Melissa;Blue;Melissa Blue;1983-03-23;F;Kobieta;4;4708 Biscayne Court;United States
25994;Richard;Garcia;Richard Garcia;1983-03-10;M;Mężczyzna;4;6337 Hill Dr;United States
19575;Marco;Patel;Marco Patel;1983-02-20;M;Mężczyzna;5;6850 Monument Blvd.;Australia
16450;Rebekah;Gutierrez;Rebekah Gutierrez;1983-02-12;F;Kobieta;5;9529 Oonegal Court;France
13893;Dalton;Carter;Dalton Carter;1983-02-07;M;Mężczyzna;4;4802 Haynes Court;United States
20934;Haley;Young;Haley Young;1983-02-01;F;Kobieta;5;64, route de Marseille;France
16315;Garrett;Richardson;Garrett Richardson;1983-01-19;M;Mężczyzna;5;84, rue Philibert-Delorme;France
25455;Jorge;Zheng;Jorge Zheng;1983-01-10;M;Mężczyzna;4;Heidestieg Straße 8224;Germany
28422;Joy;Moyer;Joy Moyer;1983-01-03;F;Kobieta;5;244, rue de Bas Marin;France
22546;Nicholas;Jones;Nicholas Jones;1982-10-21;M;Mężczyzna;4;1064 Slavio;United States
21112;Johnathan;Prasad;Johnathan Prasad;1982-09-14;M;Mężczyzna;5;34703, rue des Bouchers;France
19356;Francis;Ortega;Francis Ortega;1982-05-10;M;Mężczyzna;4;Am Grossen Dern 45;Germany
19608;Harold;Prasad;Harold Prasad;1982-04-23;M;Mężczyzna;5;8784 Detroit Ave.;Australia
22483;Lee;Ramos;Lee Ramos;1982-04-20;M;Mężczyzna;4;14, rue Marbeuf;France
12361;Dana;Diaz;Dana Diaz;1982-03-28;F;Kobieta;4;2241 Concord Place;Australia
22100;Fernando;Hall;Fernando Hall;1982-03-13;M;Mężczyzna;5;8886 Marsh Drive;Canada
22482;Cassidy;Jenkins;Cassidy Jenkins;1982-03-12;F;Kobieta;4;Zeiter Weg 9963;Germany
24075;Peter;Saddow;Peter Saddow;1982-03-12;F;Kobieta;4;15, avenue de la Gare;France
19106;Terrance;Sai;Terrance Sai;1982-01-30;M;Mężczyzna;4;9642 East L Street;Australia
18021;Trisha;She;Trisha She;1982-01-17;F;Kobieta;4;2457 Matterhorn Court;United Kingdom
25227;Jaime;Gutierrez;Jaime Gutierrez;1982-01-16;M;Mężczyzna;5;4092 Marlene Drive;Australia
12001;Shannon;Yang;Shannon Yang;1981-12-30;F;Kobieta;5;8404 Houston Ct.;Australia
15794;Tonya;Chander;Tonya Chander;1981-12-15;F;Kobieta;5;98 Ruby Lane;Australia
19559;Cedric;Cai;Cedric Cai;1981-12-13;M;Mężczyzna;5;7119 Iowa Drive;Australia
21951;Orlando;Hernandez;Orlando Hernandez;1981-11-23;M;Mężczyzna;4;5929 William Reed Dr.;Australia
11817;Morgan;Miller;Morgan Miller;1981-11-23;F;Kobieta;4;5929 William Reed Dr.;United States
29407;Samantha;Smith;Samantha Smith;1981-11-08;F;Kobieta;4;9021 Onley Dr;United Kingdom
11816;Joe;Torres;Joe Torres;1981-10-19;M;Mężczyzna;4;8069 Vine Hill Way;United States
20673;Dylan;Washington;Dylan Washington;1981-10-19;M;Mężczyzna;4;2296 Rapallo Lane;United States
26024;Jill;Gutierrez;Jill Gutierrez;1981-10-17;F;Kobieta;4;3183 Chestnut Ave.;Australia
17592;Bryan;Sanders;Bryan Sanders;1981-09-23;M;Mężczyzna;4;6494 Green Valley Rd.;United States
28672;Blake;Johnson;Blake Johnson;1981-09-23;M;Mężczyzna;4;9068 Muir Road;United States
23400;Andrew;Lee;Andrew Lee;1981-08-30;M;Mężczyzna;4;2115 Pasado;United States
25130;Micah;Huang;Micah Huang;1981-08-16;M;Mężczyzna;5;9580 Kalima Place;Australia
15578;Diane;Gill;Diane Gill;1981-08-16;F;Kobieta;4;6163 Craig Drive;Australia
26326;Trevor;Washington;Trevor Washington;1981-07-02;M;Mężczyzna;4;522 Fieldbrook Pl.;United States
12142;Gabriella;Torres;Gabriella Torres;1981-07-02;F;Kobieta;4;4790 Curletto Drive;United States
17657;Noah;Martin;Noah Martin;1981-06-22;M;Mężczyzna;4;6218 Stephanie Way;Canada
28673;Arianna;Reed;Arianna Reed;1981-06-04;F;Kobieta;4;6810 San Vincente Drive;United States
13916;Eduardo;Ward;Eduardo Ward;1981-05-24;M;Mężczyzna;4;9478 Rheem Dr.;Canada
13707;Austin;Smith;Austin Smith;1981-05-18;M;Mężczyzna;4;5287 Geary Road;Canada
11450;Brett;Mehta;Brett Mehta;1981-05-11;M;Mężczyzna;4;7411 Crivello Avenue;Australia
11752;Lauren;Bryant;Lauren Bryant;1981-05-03;F;Kobieta;4;7551 Santa Lucia;Australia
24730;Anthony;Moore;Anthony Moore;1981-05-02;M;Mężczyzna;4;9818 Northgate Road;Canada
25101;Wyatt;Baker;Wyatt Baker;1981-04-13;M;Mężczyzna;5;2230 May Way;Canada
29288;Glenn;Lin;Glenn Lin;1981-04-13;M;Mężczyzna;4;3494 Radar Blvd;Australia
27571;Shannon;Gao;Shannon Gao;1981-04-13;F;Kobieta;4;7772 Golden Meadow;United States
24731;Evan;Mitchell;Evan Mitchell;1981-04-12;M;Mężczyzna;4;7791 Mountain View Pl.;Canada
18374;Logan;King;Logan King;1981-04-12;M;Mężczyzna;5;2319 Hilltop Dr.;United States
13424;Jasmine;Thomas;Jasmine Thomas;1981-03-16;F;Kobieta;5;3484 Springer Court;United States
17616;Daniel;Weisman;Daniel Weisman;1981-03-12;M;Mężczyzna;4;976 Shore Rd.;United States
16992;Lucas;Watson;Lucas Watson;1981-03-12;M;Mężczyzna;4;595 Clayton Rd.;United States
19128;Madison;Jackson;Madison Jackson;1981-03-09;F;Kobieta;4;7076 Sol Street;United States
20672;Fernando;Ross;Fernando Ross;1981-03-03;M;Mężczyzna;4;4002 Fawn Glen Circle;United States
27287;Samuel;Perez;Samuel Perez;1981-02-23;M;Mężczyzna;4;1948 Ohara Avenue;United States
21641;Kaylee;Perez;Kaylee Perez;1981-02-16;F;Kobieta;4;1686 Lavere Way;United States
21610;Caleb;Edwards;Caleb Edwards;1981-02-16;M;Mężczyzna;4;4122 Ruth Drive;United States
25160;Mackenzie;Stewart;Mackenzie Stewart;1981-02-16;F;Kobieta;5;3646 Snyder Lane;United States
17323;Rafael;Jai;Rafael Jai;1981-02-16;M;Mężczyzna;5;1286 Cincerto Circle;Australia
13280;Bailey;Adams;Bailey Adams;1981-02-12;F;Kobieta;5;1817 Adobe Drive;United States
20671;Ronald;Sanchez;Ronald Sanchez;1981-02-09;M;Mężczyzna;4;182 Perry Way;United States
20701;Liz;Anderson;Liz Anderson;1981-01-16;F;Kobieta;4;5884 Blue Ridge;United States
